0	0
1	0
2	2
3	3
4	3
5	2
6	2
7	1
8	1
9	0
10	1
11	4
12	6
13	1
14	6
15	4
16	4
17	6
18	2
19	5
20	3
21	6
22	5
23	0
24	1
25	4
26	1
27	2
28	2
29	2
30	1
31	1
32	0
33	4
34	5
35	5
36	1
37	0
38	3
39	5
40	0
41	2
42	4
43	2
44	2
45	2
46	4
47	2
48	6
49	4
50	3
51	2
52	5
53	4
54	1
55	0
56	1
57	5
58	2
59	5
60	0
61	5
62	5
63	2
64	4
65	6
66	5
67	3
68	1
69	6
70	1
71	5
72	6
73	0
74	1
75	2
76	1
77	0
78	5
79	4
80	2
81	4
82	5
83	6
84	6
85	1
86	5
87	2
88	4
89	4
90	5
91	3
92	1
93	4
94	4
95	2
96	3
97	5
98	4
99	2
100	6
101	4
102	6
103	0
104	3
105	1
106	0
107	6
108	4
109	2
110	1
111	5
112	1
113	1
114	4
115	3
116	4
117	4
118	1
119	3
120	5
121	1
122	6
123	2
124	1
125	0
126	2
127	3
128	0
129	6
130	5
131	6
132	0
133	2
134	1
135	4
136	4
137	6
138	4
139	3
140	2
141	0
142	0
143	1
144	1
145	5
146	4
147	5
148	0
149	0
150	6
151	0
152	0
153	0
154	3
155	3
156	3
157	0
158	6
159	2
160	5
161	4
162	0
163	1
164	5
165	3
166	4
167	1
168	2
169	1
170	1
171	0
172	6
173	1
174	2
175	4
176	6
177	5
178	2
179	1
180	2
181	6
182	1
183	4
184	0
185	5
186	6
187	5
188	2
189	3
190	6
191	5
192	4
193	2
194	5
195	4
196	3
197	4
198	1
199	1
200	2
201	1
202	5
203	0
204	5
205	5
206	3
207	4
208	1
209	1
210	0
211	2
212	5
213	1
214	6
215	4
216	5
217	3
218	0
219	0
220	5
221	5
222	4
223	1
224	0
225	5
226	4
227	0
228	4
229	1
230	4
231	4
232	5
233	2
234	6
235	0
236	0
237	3
238	2
239	5
240	4
241	6
242	4
243	4
244	3
245	3
246	5
247	0
248	3
249	4
250	4
251	4
252	5
253	5
254	0
255	6
256	1
257	0
258	1
259	5
260	2
261	2
262	4
263	5
264	5
265	5
266	4
267	5
268	6
269	6
270	2
271	3
272	1
273	5
274	6
275	0
276	4
277	2
278	0
279	4
280	4
281	5
282	5
283	4
284	4
285	3
286	5
287	6
288	6
289	2
290	4
291	5
292	1
293	1
294	1
295	5
296	4
297	6
298	4
299	1
300	2
301	5
302	2
303	3
304	4
305	5
306	3
307	0
308	3
309	6
310	6
311	6
312	5
313	1
314	2
315	5
316	6
317	4
318	4
319	2
320	0
321	4
322	1
323	2
324	1
325	2
326	2
327	2
328	6
329	0
330	3
331	4
332	4
333	5
334	2
335	0
336	5
337	6
338	3
339	4
340	2
341	1
342	0
343	1
344	3
345	6
346	6
347	0
348	0
349	4
350	2
351	4
352	6
353	6
354	2
355	0
356	5
357	4
358	1
359	4
360	3
361	5
362	1
363	6
364	6
365	2
366	2
367	1
368	4
369	4
370	3
371	0
372	4
373	4
374	4
375	5
376	1
377	2
378	1
379	0
380	0
381	3
382	4
383	4
384	3
385	4
386	4
387	6
388	5
389	2
390	6
391	0
392	5
393	6
394	6
395	4
396	4
397	2
398	0
399	5
400	1
401	1
402	6
403	1
404	4
405	6
406	6
407	4
408	4
409	1
410	4
411	2
412	5
413	2
414	6
415	2
416	3
417	6
418	2
419	1
420	1
421	4
422	2
423	0
424	4
425	2
426	4
427	6
428	2
429	4
430	5
431	4
432	1
433	5
434	4
435	4
436	6
437	4
438	3
439	1
440	0
441	2
442	5
443	4
444	0
445	2
446	2
447	5
448	0
449	4
450	3
451	2
452	1
453	5
454	0
455	2
456	0
457	6
458	5
459	6
460	0
461	4
462	4
463	6
464	6
465	2
466	1
467	6
468	4
469	5
470	6
471	4
472	0
473	4
474	6
475	2
476	4
477	4
478	5
479	4
480	5
481	0
482	5
483	2
484	4
485	2
486	5
487	1
488	3
489	1
490	0
491	4
492	5
493	2
494	2
495	0
496	1
497	0
498	3
499	6
500	4
501	5
502	5
503	1
504	3
505	2
506	6
507	3
508	6
509	5
510	2
511	4
512	1
513	5
514	6
515	1
516	4
517	0
518	1
519	0
520	0
521	0
522	0
523	0
524	4
525	5
526	1
527	2
528	3
529	5
530	2
531	6
532	0
533	4
