0	0
1	0
2	2
3	3
4	3
5	2
6	2
7	1
8	1
9	0
10	1
11	4
12	6
13	1
14	6
15	4
16	4
17	6
18	2
19	5
20	3
21	6
22	6
23	0
24	1
25	5
26	1
27	2
28	2
29	3
30	0
31	1
32	0
33	6
34	5
35	5
36	1
37	0
38	3
39	1
40	0
41	2
42	2
43	0
44	2
45	2
46	4
47	4
48	6
49	2
50	3
51	4
52	5
53	6
54	3
55	0
56	1
57	5
58	4
59	5
60	0
61	5
62	6
63	0
64	4
65	6
66	6
67	3
68	1
69	6
70	1
71	5
72	6
73	0
74	1
75	2
76	1
77	0
78	5
79	4
80	2
81	4
82	5
83	6
84	6
85	1
86	5
87	2
88	4
89	4
90	5
91	3
92	1
93	4
94	4
95	2
96	3
97	5
98	4
99	2
100	6
101	4
102	6
103	0
104	3
105	1
106	0
107	6
108	4
109	2
110	1
111	5
112	1
113	1
114	4
115	3
116	4
117	4
118	1
119	3
120	5
